N P   Temps
3 1  0.000050
5 1  0.000014
7 1  0.000012
9 0  0.000012
11 0  0.000009
13 1  0.000009
15 0  0.000013
17 1  0.000008
19 1  0.000009
21 0  0.000011
23 0  0.000009
25 0  0.000009
27 0  0.000011
29 0  0.000010
31 1  0.000011
33 0  0.000013
35 0  0.000012
37 0  0.000012
39 0  0.000013
41 0  0.000012
43 0  0.000012
45 0  0.000012
47 0  0.000013
49 0  0.000012
51 0  0.000013
53 0  0.000013
55 0  0.000013
57 0  0.000013
59 0  0.000014
61 1  0.000014
63 0  0.000013
65 0  0.000020
67 0  0.000017
69 0  0.000016
71 0  0.000016
73 0  0.000017
75 0  0.000017
77 0  0.000017
79 0  0.000017
81 0  0.000018
83 0  0.000017
85 0  0.000018
87 0  0.000018
89 1  0.000019
91 0  0.000018
93 0  0.000019
95 0  0.000019
97 0  0.000020
99 0  0.000020
101 0  0.000020
103 0  0.000021
105 0  0.000020
107 1  0.000036
109 0  0.000017
111 0  0.000017
113 0  0.000017
115 0  0.000018
117 0  0.000018
119 0  0.000019
121 0  0.000019
123 0  0.000019
125 0  0.000019
127 1  0.000019
129 0  0.000034
131 0  0.000026
133 0  0.000026
135 0  0.000026
137 0  0.000026
139 0  0.000026
141 0  0.000026
143 0  0.000027
145 0  0.000027
147 0  0.000028
149 0  0.000028
151 0  0.000028
153 0  0.000028
155 0  0.000028
157 0  0.000029
159 0  0.000028
161 0  0.000030
163 0  0.000051
165 0  0.000030
167 0  0.000028
169 0  0.000041
171 0  0.000029
173 0  0.000029
175 0  0.000029
177 0  0.000030
179 0  0.000031
181 0  0.000050
183 0  0.000051
185 0  0.000054
187 0  0.000056
189 0  0.000057
191 0  0.000060
193 0  0.000074
195 0  0.000055
197 0  0.000058
199 0  0.000081
201 0  0.000070
203 0  0.000071
205 0  0.000070
207 0  0.000074
209 0  0.000075
211 0  0.000076
213 0  0.000076
215 0  0.000078
217 0  0.000077
219 0  0.000076
221 0  0.000077
223 0  0.000077
225 0  0.000081
227 0  0.000079
229 0  0.000080
231 0  0.000080
233 0  0.000081
235 0  0.000082
237 0  0.000082
239 0  0.000082
241 0  0.000084
243 0  0.000086
245 0  0.000047
247 0  0.000047
249 0  0.000047
251 0  0.000047
253 0  0.000047
255 0  0.000047
257 0  0.000055
259 0  0.000071
261 0  0.000064
263 0  0.000063
265 0  0.000083
267 0  0.000063
269 0  0.000063
271 0  0.000063
273 0  0.000063
275 0  0.000063
277 0  0.000067
279 0  0.000065
281 0  0.000065
283 0  0.000065
285 0  0.000110
287 0  0.000119
289 0  0.000131
291 0  0.000131
293 0  0.000132
295 0  0.000132
297 0  0.000133
299 0  0.000133
301 0  0.000135
303 0  0.000135
305 0  0.000136
307 0  0.000137
309 0  0.000138
311 0  0.000138
313 0  0.000140
315 0  0.000136
317 0  0.000131
319 0  0.000132
321 0  0.000146
323 0  0.000163
325 0  0.000145
327 0  0.000097
329 0  0.000087
331 0  0.000083
333 0  0.000083
335 0  0.000083
337 0  0.000096
339 0  0.000085
341 0  0.000085
343 0  0.000085
345 0  0.000109
347 0  0.000116
349 0  0.000086
351 0  0.000086
353 0  0.000088
355 0  0.000087
357 0  0.000087
359 0  0.000088
361 0  0.000090
363 0  0.000089
365 0  0.000089
367 0  0.000090
369 0  0.000090
371 0  0.000090
373 0  0.000091
375 0  0.000091
377 0  0.000091
379 0  0.000092
381 0  0.000095
383 0  0.000096
385 0  0.000104
387 0  0.000104
389 0  0.000103
391 0  0.000102
393 0  0.000103
395 0  0.000103
397 0  0.000103
399 0  0.000104
401 0  0.000105
403 0  0.000105
405 0  0.000105
407 0  0.000106
409 0  0.000106
411 0  0.000106
413 0  0.000107
415 0  0.000107
417 0  0.000110
419 0  0.000116
421 0  0.000110
423 0  0.000111
425 0  0.000110
427 0  0.000117
429 0  0.000127
431 0  0.000126
433 0  0.000127
435 0  0.000113
437 0  0.000113
439 0  0.000113
441 0  0.000114
443 0  0.000115
445 0  0.000116
447 0  0.000116
449 0  0.000131
451 0  0.000130
453 0  0.000128
455 0  0.000129
457 0  0.000133
459 0  0.000143
461 0  0.000128
463 0  0.000128
465 0  0.000129
467 0  0.000130
469 0  0.000136
471 0  0.000137
473 0  0.000145
475 0  0.000146
477 0  0.000132
479 0  0.000132
481 0  0.000171
483 0  0.000141
485 0  0.000140
487 0  0.000142
489 0  0.000142
491 0  0.000143
493 0  0.000152
495 0  0.000150
497 0  0.000137
499 0  0.000140
501 0  0.000138
503 0  0.000140
505 0  0.000140
507 0  0.000139
509 0  0.000141
511 0  0.000143
513 0  0.000161
515 0  0.000162
517 0  0.000161
519 0  0.000161
521 1  0.000180
