  Fermat    Miller  Strassen Erastotene
1 0.000001 0.000000 0.000001
2 0.007108 0.006956 0.006953
3 0.006887 0.006905 0.006909
4 0.006913 0.006905 0.006901
5 0.006901 0.006927 0.006911
6 0.006920 0.006913 0.006915
7 0.006922 0.006916 0.006910
8 0.006924 0.006922 0.006915
9 0.006905 0.006956 0.006917
10 0.006933 0.006927 0.006922
11 0.006906 0.006940 0.006923
12 0.006935 0.006923 0.006928
13 0.006939 0.007022 0.006923
14 0.006947 0.006913 0.006928
15 0.006946 0.006932 0.006932
16 0.006943 0.006925 0.006927
17 0.006939 0.006962 0.006936
18 0.006954 0.006931 0.006933
19 0.006948 0.006961 0.006949
20 0.006954 0.006954 0.006954
21 0.006948 0.007008 0.006953
22 0.006945 0.006921 0.006983
23 0.006948 0.007028 0.006971
24 0.006969 0.006935 0.006968
25 0.006976 0.006930 0.006972
26 0.006971 0.006944 0.006976
27 0.006969 0.006993 0.006986
28 0.006968 0.006943 0.006984
29 0.006967 0.006959 0.006996
30 0.006977 0.006953 0.006988
31 0.006976 0.006942 0.007002
32 0.006984 0.006946 0.007010
33 0.006960 0.007180 0.007031
34 0.007018 0.007118 0.007032
35 0.006996 0.007054 0.007039
36 0.007113 0.007042 0.007382
37 0.007389 0.007154 0.007361
38 0.007033 0.006992 0.007050
39 0.007040 0.007006 0.007064
40 0.007040 0.006992 0.007058
41 0.007021 0.007006 0.007120
42 0.007020 0.007315 0.007644
43 0.007077 0.008327 0.008643
44 0.007508 0.007100 0.007963
45 0.007064 0.007028 0.007056
46 0.007037 0.007006 0.007055
47 0.007050 0.007080 0.007061
48 0.007045 0.007109 0.007062
49 0.008424 0.009083 0.008509
50 0.007314 0.007462 0.007145
51 0.007069 0.007070 0.007096
52 0.007069 0.007071 0.007071
53 0.007082 0.007050 0.007060
54 0.007069 0.007019 0.007069
55 0.007202 0.007135 0.007180
56 0.009664 0.009249 0.007664
57 0.007108 0.007204 0.007114
58 0.007093 0.007088 0.007078
59 0.007072 0.007011 0.007083
60 0.007057 0.007458 0.007096
61 0.007066 0.007035 0.007229
62 0.007150 0.007025 0.007205
63 0.007165 0.007411 0.007284
64 0.007292 0.007445 0.007218
65 0.007317 0.007311 0.007232
66 0.007434 0.009322 0.011866
67 0.007267 0.007326 0.007630
68 0.007238 0.007731 0.007424
69 0.007394 0.007939 0.011224
70 0.007444 0.008522 0.007287
71 0.007210 0.007290 0.008346
72 0.007371 0.007215 0.007396
73 0.007178 0.007249 0.007691
74 0.007243 0.007364 0.007413
75 0.007237 0.007977 0.007342
76 0.007389 0.007166 0.007525
77 0.007168 0.007082 0.007222
78 0.007163 0.007095 0.007223
79 0.009921 0.008311 0.007247
80 0.007606 0.007423 0.007404
81 0.007251 0.007548 0.007255
82 0.007190 0.007454 0.007305
83 0.008263 0.007141 0.008548
84 0.008681 0.007167 0.008822
85 0.007243 0.007142 0.007264
86 0.007197 0.007138 0.007386
87 0.007226 0.007134 0.007262
88 0.007218 0.007166 0.007295
89 0.007236 0.007338 0.007281
90 0.007235 0.007273 0.007331
91 0.007618 0.007550 0.007572
92 0.007292 0.008401 0.007414
93 0.007769 0.007892 0.007349
94 0.007256 0.008451 0.007341
95 0.007680 0.007508 0.007367
96 0.007273 0.007354 0.007347
97 0.007524 0.007674 0.007460
98 0.007608 0.007258 0.007561
99 0.007313 0.007202 0.007375
100 0.007334 0.007337 0.007381
101 0.007305 0.007892 0.007655
102 0.007462 0.007508 0.007639
103 0.007671 0.008302 0.007441
104 0.007615 0.007346 0.008428
105 0.007883 0.007276 0.007483
106 0.007370 0.007370 0.007400
107 0.007463 0.007244 0.007440
108 0.007612 0.008426 0.007488
109 0.007621 0.007265 0.007821
110 0.007369 0.007271 0.007558
111 0.007882 0.007441 0.007675
112 0.007396 0.007655 0.007715
113 0.007462 0.008089 0.007559
114 0.007559 0.007393 0.007556
115 0.007581 0.007417 0.007642
116 0.008781 0.009134 0.007855
117 0.007524 0.007606 0.007576
118 0.007459 0.007836 0.007758
119 0.007484 0.007814 0.007529
120 0.007404 0.007352 0.007585
121 0.007437 0.007773 0.007549
122 0.007431 0.007399 0.007532
123 0.007458 0.007486 0.007990
124 0.007478 0.007324 0.007552
125 0.007445 0.007478 0.007537
126 0.007482 0.007290 0.007514
127 0.007461 0.007529 0.007516
128 0.007548 0.007398 0.007669
129 0.007744 0.008535 0.007664
130 0.007616 0.007985 0.007676
131 0.007676 0.007466 0.007704
132 0.007746 0.007480 0.007701
133 0.007825 0.007446 0.007716
